site_id,timestamp,tower_load_kw,solar_power_kw,solar_irradiance,battery_soc,battery_health,battery_status,battery_voltage,battery_current,battery_temperature,grid_available,grid_power_kw,grid_voltage,grid_frequency_hz,electricity_price,tariff_type,generator_available,generator_status,generator_power_kw,fuel_level,fuel_consumption_lph,temperature,humidity,wind_speed,rainfall,energy_consumption_kwh,power_source,equipment_status
SITE_001,2025-01-01T00:00:00+05:00,1.857,0.0,0.0,94.33,98.0,charging,28.29,111.94,32.85,true,4.857,232.9,49.96,20.67,off_peak,true,stopped,0.0,90.0,0.0,18.69,86.0,5.6,0.0,0.4643,grid,ok
SITE_001,2025-01-01T00:15:00+05:00,1.664,0.0,0.0,97.4,98.0,charging,28.53,36.8,23.21,true,2.664,233.9,49.96,20.33,off_peak,true,stopped,0.0,90.0,0.0,18.39,81.4,5.47,0.0,0.416,grid,ok
SITE_001,2025-01-01T00:30:00+05:00,1.776,0.0,0.0,98.13,98.0,charging,28.54,8.88,18.77,true,2.026,232.3,49.93,21.36,off_peak,true,stopped,0.0,90.0,0.0,17.71,88.7,4.75,0.0,0.444,grid,ok
SITE_001,2025-01-01T00:45:00+05:00,1.6,0.0,0.0,98.87,98.0,charging,28.83,8.79,18.81,true,1.85,231.4,49.9,20.49,off_peak,true,stopped,0.0,90.0,0.0,17.56,92.0,9.41,0.0,0.4,grid,ok
SITE_001,2025-01-01T01:00:00+05:00,1.694,0.0,0.0,99.59,98.0,charging,29.12,8.7,19.0,true,1.944,228.9,49.98,22.36,off_peak,true,stopped,0.0,90.0,0.0,17.47,85.7,4.67,0.0,0.4236,grid,ok
SITE_001,2025-01-01T01:15:00+05:00,1.77,0.0,0.0,99.59,98.0,idle,29.04,0.0,17.84,true,1.77,224.8,50.07,21.93,off_peak,true,stopped,0.0,90.0,0.0,17.37,82.7,0.01,0.0,0.4426,grid,ok
SITE_001,2025-01-01T01:30:00+05:00,1.809,0.0,0.0,99.59,98.0,idle,29.04,0.0,17.86,true,1.809,231.4,50.14,24.23,off_peak,true,stopped,0.0,90.0,0.0,18.32,91.3,0.77,0.0,0.4521,grid,ok
SITE_001,2025-01-01T01:45:00+05:00,1.597,0.0,0.0,99.59,98.0,idle,29.04,0.0,17.73,true,1.597,226.5,50.04,23.9,off_peak,true,stopped,0.0,90.0,0.0,18.1,83.5,6.09,0.0,0.3993,grid,ok
SITE_001,2025-01-01T02:00:00+05:00,1.81,0.0,0.0,99.59,98.0,idle,29.04,0.0,17.64,true,1.81,233.5,50.01,22.79,off_peak,true,stopped,0.0,90.0,0.0,17.42,89.9,0.69,0.0,0.4525,grid,ok
SITE_001,2025-01-01T02:15:00+05:00,1.652,0.0,0.0,99.59,98.0,idle,29.04,0.0,17.94,true,1.652,231.4,49.93,20.35,off_peak,true,stopped,0.0,90.0,0.0,17.77,85.3,0.88,0.0,0.4131,grid,ok
SITE_001,2025-01-01T02:30:00+05:00,1.685,0.0,0.0,99.59,98.0,idle,29.04,0.0,17.12,true,1.685,225.4,49.91,25.77,off_peak,true,stopped,0.0,90.0,0.0,16.67,84.7,6.17,0.0,0.4212,grid,ok
SITE_001,2025-01-01T02:45:00+05:00,1.731,0.0,0.0,99.59,98.0,idle,29.04,0.0,17.01,true,1.731,228.2,49.94,22.02,off_peak,true,stopped,0.0,90.0,0.0,16.59,87.3,3.95,0.0,0.4328,grid,ok
SITE_001,2025-01-01T03:00:00+05:00,1.848,0.0,0.0,99.59,98.0,idle,29.04,0.0,16.66,true,1.848,229.2,49.96,22.79,off_peak,true,stopped,0.0,90.0,0.0,16.63,86.7,3.46,0.0,0.4619,grid,ok
