site_id,timestamp,grid_status,electricity_price,tariff_type,battery_soc_pct,battery_soh_pct,battery_voltage,battery_status,generator_state,generator_power_kw,fuel_level_l,fuel_consumption_lph,solar_power_kw,solar_irradiance,load_kw,traffic_load_pct,qos_score,temperature,humidity,alarm_codes,incident_label,recommended_source,reason,source,schema_valid,stale_data_flag,record_id,scenario_id
ISB-000,2026-07-01T00:00:00+00:00,Up,30.75,Off-Peak,98.27,94.99,53.83,Charging,Off,0.0,150.0,0.0,0.0,0.0,13.005,13.04,96.09,32.5,70.3,,None,Grid,Grid available at 30.75 PKR/kWh (Off-Peak) — using grid as primary source,Synthetic,True,False,c7a7c383-95b8-4106-8785-8c2ed090fbdc,normal_operation
ISB-000,2026-07-01T03:00:00+00:00,Up,39.0,Normal,74.21,94.96,51.42,Charging,Off,0.0,150.0,0.0,3.431,316.9,14.459,65.11,80.47,37.6,60.4,,None,Grid,Grid available at 39.00 PKR/kWh (Normal) — using grid as primary source,Synthetic,True,False,422ee246-90ca-4550-9ff3-265b00b19c01,normal_operation
ISB-000,2026-07-01T04:00:00+00:00,Up,39.0,Normal,93.36,94.96,53.34,Charging,Off,0.0,150.0,0.0,4.961,455.2,14.656,78.23,76.53,36.0,60.5,,None,Grid,Grid available at 39.00 PKR/kWh (Normal) — using grid as primary source,Synthetic,True,False,48409c6b-e20b-4dc4-b5bf-a1a4c989b4bc,normal_operation
ISB-000,2026-07-01T05:00:00+00:00,Up,39.0,Normal,100.0,94.95,54.0,Charging,Off,0.0,150.0,0.0,6.283,576.0,13.444,82.76,75.17,35.8,57.5,,None,Grid,Grid available at 39.00 PKR/kWh (Normal) — using grid as primary source,Synthetic,True,False,59b7eea3-9845-42df-b468-89cf399dae80,normal_operation
ISB-000,2026-07-01T06:00:00+00:00,Up,39.0,Normal,100.0,94.95,54.0,Idle,Off,0.0,150.0,0.0,7.107,658.7,14.416,94.33,71.7,38.4,57.1,,None,Grid,Grid available at 39.00 PKR/kWh (Normal) — using grid as primary source,Synthetic,True,False,6c66749f-1317-446c-a4b5-c454c28cef2d,normal_operation
ISB-000,2026-07-01T07:00:00+00:00,Up,39.0,Normal,100.0,94.95,54.0,Idle,Off,0.0,150.0,0.0,7.307,671.3,15.187,84.85,74.55,36.3,54.4,,None,Grid,Grid available at 39.00 PKR/kWh (Normal) — using grid as primary source,Synthetic,True,False,0ddcc2b9-c59c-4d6b-ba5d-6134b5d88dfb,normal_operation
ISB-000,2026-07-01T08:00:00+00:00,Up,39.0,Normal,100.0,94.95,54.0,Idle,Off,0.0,150.0,0.0,7.642,693.9,13.833,82.04,75.39,33.5,66.0,,None,Solar,Solar covers 55% of load (7.6 kW) — using free solar generation,Synthetic,True,False,02739896-2c73-4960-bb1d-f1beb82d87b4,normal_operation
ISB-000,2026-07-01T11:00:00+00:00,Up,39.0,Normal,88.6,94.93,52.86,Charging,Off,0.0,150.0,0.0,5.039,450.7,12.273,86.1,74.17,29.8,77.3,,None,Grid,Grid available at 39.00 PKR/kWh (Normal) — using grid as primary source,Synthetic,True,False,93099b4a-27af-447d-902e-acb9a2a57d63,normal_operation
ISB-000,2026-07-01T18:00:00+00:00,Up,30.75,Off-Peak,70.72,94.88,51.07,Charging,Off,0.0,150.0,0.0,0.0,0.0,12.877,30.12,90.97,30.0,75.2,,None,Grid,Grid available at 30.75 PKR/kWh (Off-Peak) — using grid as primary source,Synthetic,True,False,cc4c9f97-876f-4ebe-8a49-8916d583a8fc,normal_operation
ISB-000,2026-07-01T19:00:00+00:00,Up,30.75,Off-Peak,90.4,94.87,53.04,Charging,Off,0.0,150.0,0.0,0.0,0.0,12.178,16.52,95.04,27.3,76.1,,None,Grid,Grid available at 30.75 PKR/kWh (Off-Peak) — using grid as primary source,Synthetic,True,False,3c29367b-07de-4f44-a65a-017bdca143fd,normal_operation
ISB-000,2026-07-01T20:00:00+00:00,Up,30.75,Off-Peak,100.0,94.87,54.0,Charging,Off,0.0,150.0,0.0,0.0,0.0,12.5,7.34,97.8,26.3,76.8,,None,Grid,Grid available at 30.75 PKR/kWh (Off-Peak) — using grid as primary source,Synthetic,True,False,bf38352e-d7cb-4730-98ff-ce8ccfca2656,normal_operation
ISB-000,2026-07-01T21:00:00+00:00,Up,30.75,Off-Peak,100.0,94.87,54.0,Idle,Off,0.0,150.0,0.0,0.0,0.0,14.013,3.82,98.85,29.0,79.1,,None,Grid,Grid available at 30.75 PKR/kWh (Off-Peak) — using grid as primary source,Synthetic,True,False,264038fd-fbdb-498d-a149-2e92be14cd41,normal_operation
ISB-000,2026-07-01T01:00:00+00:00,Down,39.0,Normal,74.0,94.98,51.4,Discharging,Off,0.0,150.0,0.0,0.0,0.0,13.238,25.49,72.35,31.5,56.2,,Outage,Battery,"Grid outage, battery adequate (SoC 74%) — supplying load from battery, no generator start required",Synthetic,True,False,c231039e-4198-444e-9776-16bf0719d9ba,short_outage
ISB-000,2026-07-01T02:00:00+00:00,Down,39.0,Normal,51.62,94.97,49.16,Discharging,Off,0.0,150.0,0.0,1.798,166.9,14.976,46.48,66.06,38.8,57.6,,Outage,Battery,"Grid outage, battery adequate (SoC 52%) — supplying load from battery, no generator start required",Synthetic,True,False,d53a2891-fd95-4eda-b11a-c243746afde6,short_outage
ISB-000,2026-07-01T09:00:00+00:00,Down,39.0,Normal,84.53,94.95,52.45,Discharging,Off,0.0,150.0,0.0,7.064,640.1,13.5,78.87,56.34,33.0,63.0,,Outage,Solar,Solar covers 52% of load (7.1 kW) — using free solar generation,Synthetic,True,False,347804d0-70e4-4177-a05a-4b28f914f9b9,short_outage
ISB-000,2026-07-01T10:00:00+00:00,Down,39.0,Normal,68.6,94.94,50.86,Discharging,Off,0.0,150.0,0.0,6.514,588.1,13.143,80.99,55.7,32.1,62.5,,Outage,Battery,"Grid outage, battery adequate (SoC 69%) — supplying load from battery, no generator start required",Synthetic,True,False,8f4c1444-a4ef-407a-8c2e-93391ad6f7a1,short_outage
ISB-000,2026-07-02T01:00:00+00:00,Down,39.0,Normal,75.93,94.85,51.59,Discharging,Off,0.0,150.0,0.0,0.027,2.4,14.163,25.14,72.46,32.3,60.5,,Outage,Battery,"Grid outage, battery adequate (SoC 76%) — supplying load from battery, no generator start required",Synthetic,True,False,0d395d4a-66b5-471f-89e2-8491bdb5339d,short_outage
ISB-000,2026-07-02T02:00:00+00:00,Down,39.0,Normal,52.67,94.85,49.27,Discharging,Off,0.0,150.0,0.0,1.956,179.0,14.807,45.65,66.31,35.4,61.1,,Outage,Battery,"Grid outage, battery adequate (SoC 53%) — supplying load from battery, no generator start required",Synthetic,True,False,14f942f5-109f-494b-8fe7-f7e3a5da037a,short_outage
ISB-000,2026-07-02T09:00:00+00:00,Down,39.0,Normal,83.29,94.82,52.33,Discharging,Off,0.0,150.0,0.0,7.125,650.5,14.075,79.8,56.06,34.8,64.6,,Outage,Solar,Solar covers 51% of load (7.1 kW) — using free solar generation,Synthetic,True,False,884743f2-b35b-41c4-a944-dcda1d3cd9d4,short_outage
ISB-000,2026-07-02T10:00:00+00:00,Down,39.0,Normal,65.38,94.81,50.54,Discharging,Off,0.0,150.0,0.0,6.422,583.9,13.874,83.33,55.0,33.8,66.4,,Outage,Battery,"Grid outage, battery adequate (SoC 65%) — supplying load from battery, no generator start required",Synthetic,True,False,ba6618e9-3128-4bb4-88e1-fb038996ad2b,short_outage
ISB-000,2026-07-02T15:00:00+00:00,Down,48.5,Peak,74.61,94.79,51.46,Discharging,Off,0.0,150.0,0.0,0.0,0.0,12.323,85.13,54.46,27.2,77.6,,Outage,Battery,"Grid outage, battery adequate (SoC 75%) — supplying load from battery, no generator start required",Synthetic,True,False,6471c76c-89ff-41d7-a6b1-cf580237734c,short_outage
ISB-000,2026-07-02T16:00:00+00:00,Down,48.5,Peak,49.95,94.78,48.99,Discharging,Off,0.0,150.0,0.0,0.0,0.0,12.529,67.43,59.77,30.0,83.3,,Outage,Battery,"Grid outage, battery adequate (SoC 50%) — supplying load from battery, no generator start required",Synthetic,True,False,72661e3a-b49b-420f-81eb-6e2d5e9067ee,short_outage
ISB-000,2026-07-03T01:00:00+00:00,Down,39.0,Normal,76.45,94.74,51.65,Discharging,Off,0.0,150.0,0.0,0.169,15.4,13.929,25.63,72.31,34.3,65.9,,Outage,Battery,"Grid outage, battery adequate (SoC 76%) — supplying load from battery, no generator start required",Synthetic,True,False,fa5fae83-4bfa-44e4-8e48-c8154f2ab708,short_outage
