site_id,timestamp,grid_status,electricity_price,tariff_type,battery_soc_pct,battery_soh_pct,battery_voltage,battery_status,generator_state,generator_power_kw,fuel_level_l,fuel_consumption_lph,solar_power_kw,solar_irradiance,load_kw,traffic_load_pct,qos_score,temperature,humidity,alarm_codes,incident_label,recommended_source,reason,source,schema_valid,stale_data_flag,record_id,scenario_id
ISB-000,2026-07-01T00:00:00+00:00,Up,30.75,Off-Peak,98.27,94.99,53.83,Charging,Off,0.0,150.0,0.0,0.0,0.0,13.005,13.04,96.09,32.5,70.3,NONE,None,Grid,Grid available at 30.75 PKR/kWh (Off-Peak) — using grid as primary source,Synthetic,True,False,c7a7c383-95b8-4106-8785-8c2ed090fbdc,normal_operation
ISB-000,2026-07-01T01:00:00+00:00,Down,39.0,Normal,74.0,94.98,51.4,Discharging,Off,0.0,150.0,0.0,0.0,0.0,13.238,25.49,72.35,31.5,56.2,NONE,Outage,Battery,"Grid outage, battery adequate (SoC 74%) — supplying load from battery, no generator start required",Synthetic,True,False,c231039e-4198-444e-9776-16bf0719d9ba,short_outage
ISB-000,2026-07-01T02:00:00+00:00,Down,39.0,Normal,51.62,94.97,49.16,Discharging,Off,0.0,150.0,0.0,1.798,166.9,14.976,46.48,66.06,38.8,57.6,NONE,Outage,Battery,"Grid outage, battery adequate (SoC 52%) — supplying load from battery, no generator start required",Synthetic,True,False,d53a2891-fd95-4eda-b11a-c243746afde6,short_outage
ISB-000,2026-07-01T03:00:00+00:00,Up,39.0,Normal,74.21,94.96,51.42,Charging,Off,0.0,150.0,0.0,3.431,316.9,14.459,65.11,80.47,37.6,60.4,NONE,None,Grid,Grid available at 39.00 PKR/kWh (Normal) — using grid as primary source,Synthetic,True,False,422ee246-90ca-4550-9ff3-265b00b19c01,normal_operation
ISB-000,2026-07-01T04:00:00+00:00,Up,39.0,Normal,93.36,94.96,53.34,Charging,Off,0.0,150.0,0.0,4.961,455.2,14.656,78.23,76.53,36.0,60.5,NONE,None,Grid,Grid available at 39.00 PKR/kWh (Normal) — using grid as primary source,Synthetic,True,False,48409c6b-e20b-4dc4-b5bf-a1a4c989b4bc,normal_operation
ISB-000,2026-07-01T05:00:00+00:00,Up,39.0,Normal,100.0,94.95,54.0,Charging,Off,0.0,150.0,0.0,6.283,576.0,13.444,82.76,75.17,35.8,57.5,NONE,None,Grid,Grid available at 39.00 PKR/kWh (Normal) — using grid as primary source,Synthetic,True,False,59b7eea3-9845-42df-b468-89cf399dae80,normal_operation
ISB-000,2026-07-01T06:00:00+00:00,Up,39.0,Normal,100.0,94.95,54.0,Idle,Off,0.0,150.0,0.0,7.107,658.7,14.416,94.33,71.7,38.4,57.1,NONE,None,Grid,Grid available at 39.00 PKR/kWh (Normal) — using grid as primary source,Synthetic,True,False,6c66749f-1317-446c-a4b5-c454c28cef2d,normal_operation
ISB-000,2026-07-01T07:00:00+00:00,Up,39.0,Normal,100.0,94.95,54.0,Idle,Off,0.0,150.0,0.0,7.307,671.3,15.187,84.85,74.55,36.3,54.4,NONE,None,Grid,Grid available at 39.00 PKR/kWh (Normal) — using grid as primary source,Synthetic,True,False,0ddcc2b9-c59c-4d6b-ba5d-6134b5d88dfb,normal_operation
ISB-000,2026-07-01T08:00:00+00:00,Up,39.0,Normal,100.0,94.95,54.0,Idle,Off,0.0,150.0,0.0,7.642,693.9,13.833,82.04,75.39,33.5,66.0,NONE,None,Solar,Solar covers 55% of load (7.6 kW) — using free solar generation,Synthetic,True,False,02739896-2c73-4960-bb1d-f1beb82d87b4,normal_operation
ISB-000,2026-07-01T09:00:00+00:00,Down,39.0,Normal,84.53,94.95,52.45,Discharging,Off,0.0,150.0,0.0,7.064,640.1,13.5,78.87,56.34,33.0,63.0,NONE,Outage,Solar,Solar covers 52% of load (7.1 kW) — using free solar generation,Synthetic,True,False,347804d0-70e4-4177-a05a-4b28f914f9b9,short_outage
ISB-000,2026-07-01T10:00:00+00:00,Down,39.0,Normal,68.6,94.94,50.86,Discharging,Off,0.0,150.0,0.0,6.514,588.1,13.143,80.99,55.7,32.1,62.5,NONE,Outage,Battery,"Grid outage, battery adequate (SoC 69%) — supplying load from battery, no generator start required",Synthetic,True,False,8f4c1444-a4ef-407a-8c2e-93391ad6f7a1,short_outage
ISB-000,2026-07-01T11:00:00+00:00,Up,39.0,Normal,88.6,94.93,52.86,Charging,Off,0.0,150.0,0.0,5.039,450.7,12.273,86.1,74.17,29.8,77.3,NONE,None,Grid,Grid available at 39.00 PKR/kWh (Normal) — using grid as primary source,Synthetic,True,False,93099b4a-27af-447d-902e-acb9a2a57d63,normal_operation
ISB-000,2026-07-01T12:00:00+00:00,Up,39.0,Normal,100.0,94.93,54.0,Charging,Off,0.0,150.0,0.0,3.637,324.9,12.624,100.0,35.68,29.5,75.3,QOS_BREACH,Congestion,Grid,Grid available at 39.00 PKR/kWh (Normal) — using grid as primary source,Synthetic,True,False,6a2e84b2-a1a7-4db2-82ab-5b50542589bd,network_congestion
ISB-000,2026-07-01T13:00:00+00:00,Up,48.5,Peak,100.0,94.93,54.0,Idle,Off,0.0,150.0,0.0,1.773,157.2,12.983,100.0,49.85,27.7,78.9,QOS_BREACH,Congestion,Grid,Grid available at 48.50 PKR/kWh (Peak) — using grid as primary source,Synthetic,True,False,8c88e2aa-21e8-4ae2-a66f-67cfd2d0ba01,network_congestion
ISB-000,2026-07-01T14:00:00+00:00,Down,48.5,Peak,74.77,94.92,51.48,Discharging,Off,0.0,150.0,0.0,0.064,5.7,13.34,100.0,28.69,27.8,84.1,QOS_BREACH,Congestion,Battery,"Grid outage, battery adequate (SoC 75%) — supplying load from battery, no generator start required",Synthetic,True,False,d8613db9-3147-412b-ad0a-cdf1177ed4ca,network_congestion
ISB-000,2026-07-01T15:00:00+00:00,Down,48.5,Peak,49.82,94.91,48.98,Discharging,Off,0.0,150.0,0.0,0.0,0.0,13.271,100.0,17.56,28.9,79.4,QOS_BREACH,Congestion,Battery,"Grid outage, battery adequate (SoC 50%) — supplying load from battery, no generator start required",Synthetic,True,False,c06f188c-7652-442a-87e2-652dff45e14e,network_congestion
ISB-000,2026-07-01T16:00:00+00:00,Down,48.5,Peak,25.05,94.9,46.5,Discharging,Off,0.0,150.0,0.0,0.0,0.0,12.377,88.18,7.19,27.1,85.5,QOS_BREACH,Congestion,Generator,"Grid outage, battery approaching critical (SoC 25%) — starting generator before battery reaches critical threshold",Synthetic,True,False,b12430ed-0360-4af4-bd77-44f3520a0665,network_congestion
ISB-000,2026-07-01T17:00:00+00:00,Up,39.0,Normal,47.88,94.89,48.79,Charging,Off,0.0,150.0,0.0,0.0,0.0,13.408,71.35,49.96,26.7,71.0,QOS_BREACH,Congestion,Grid,Grid available at 39.00 PKR/kWh (Normal) — using grid as primary source,Synthetic,True,False,b325fcc2-9b80-448b-bc33-9a9b129170e6,network_congestion
